teamDistribution,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,averageResponsesByWeek,standardDeviationHelpHoursTotalByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationUniqueCommitMessageCountByWeek,standardDeviationCommitMessageLengthTotalByWeek,lateIssueCount,Level
0.0,74.0,2.642857,9.3333,1.6329930000000001,0.095097,4.0,10.571429,1.0,169.5,0.0,2
0.0,69.5,2.673077,8.6667,1.433721,0.185748,3.7143,9.928571,1.0,33.0,0.0,1
0.0,72.5,3.2954550000000005,7.3333,2.483277,0.149278,3.6667,12.083333,9.977753,354.435075,0.0,1
0.0,36.0,1.565217,7.6667,3.27448,0.460193,3.8333,6.0,17.461068,643.0890730000001,0.0,1
0.0,68.0,3.5789470000000003,6.3333,1.0274020000000001,0.162879,3.1667,11.333333,6.377041999999999,163.09983300000002,0.0,2
0.0,60.0,2.5,8.0,3.5590260000000002,0.189419,4.0,10.0,0.0,0.0,1.0,2
0.0,45.5,2.275,6.6667,4.714045,0.833391,3.3333,7.5833330000000005,3.741657,123.91125900000002,0.0,1
1.0,22.5,2.045455,3.6667,1.545603,0.41573999999999994,3.6667,7.5,0.0,0.0,1.0,2
1.0,17.9,1.79,3.3333,0.476678,0.12196900000000001,3.3333,5.966667,0.0,0.0,0.0,2
1.0,53.0,4.4166669999999995,4.0,3.5590260000000002,0.27216599999999996,4.0,17.666667,1.6329930000000001,59.83495799999999,1.0,2
1.0,34.0,3.777778,3.0,1.6329930000000001,0.311805,3.0,11.333333,1.6329930000000001,24.458582,0.0,2
0.0,61.285714,1.8025209999999998,6.8,4.759149,0.6476729999999999,4.8571,8.755102,22.395436,1674.553141,0.0,1
0.0,54.928571999999996,1.615546,6.8,2.90095,0.703704,4.8571,7.846939,2.5,136.5,0.0,2
0.0,78.0,2.689655,5.8,3.491798,0.648005,4.8333,13.0,5.161395,242.343888,0.0,1
1.0,26.285714000000002,2.021978,2.6,2.753254,0.545063,4.3333,8.761905,4.082483,209.78136800000001,0.0,1
1.0,13.5,1.227273,2.75,1.006357,0.374575,3.6667,4.5,6.548961,252.748008,2.0,2
1.0,41.0,2.928571,2.8,1.279668,0.6731659999999999,4.6667,13.666667000000002,12.552114,1176.421693,0.0,2
1.0,49.285714,3.791209,2.6,1.222243,0.553611,4.3333,16.428570999999998,3.4871190000000003,411.84317400000003,1.0,2
0.0,44.071428999999995,1.916149,4.6,1.8352560000000002,0.3397,4.6,8.814286,4.023369000000001,195.536921,1.0,2
0.0,24.428572,0.8423649999999999,5.8,1.7724650000000002,0.301347,5.8,4.885714,13.0,465.5,0.0,1
0.0,47.714286,1.908571,5.0,3.6420449999999995,0.899731,5.0,9.542857000000001,14.044572,393.896877,1.0,2
0.0,33.714286,1.605442,4.2,0.857857,0.182014,5.25,8.428571,4.0,175.5,1.0,2
