teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,standardDeviationHelpHoursTotalByStudent,uniqueCommitMessagePercent,standardDeviationUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessagePercentByWeek,lateIssueCount,Level
0.0,5.0,12.0,2.4,1.0198040000000002,0.4,5.0,0.0,12.0,6.5,0.0,0.0,2.4,1.0198040000000002,0.4,3.666061,2.0,0.8145,4.988877,0.07171699999999999,0.0,2
1.0,2.0,7.15,3.575,1.175,0.0,2.0,0.0,7.15,2.0,0.0,0.0,3.575,1.175,0.0,0.5,0.5,0.5465,15.173076000000002,0.18162999999999999,1.0,2
1.0,3.0,30.0,10.0,3.5590260000000002,3.399346,3.0,0.0,30.0,16.0,0.0,0.0,10.0,3.5590260000000002,3.399346,4.784233,0.471405,0.8289,13.816254999999998,0.106512,0.0,2
1.0,4.0,15.5,3.875,1.340476,1.2437340000000001,2.0,1.0,7.75,5.75,0.666667,0.471405,5.1666669999999995,1.545603,1.2747549999999999,1.247219,1.433721,0.4415,16.977109,0.154557,2.0,2
0.0,20.0,56.35714300000001,2.817857,2.226404,1.8457720000000002,5.0,1.224745,14.089285999999998,11.946429,0.707889,0.638877,8.05102,3.159214,0.8398120000000001,4.194776999999999,4.281023,0.6698,21.083169,0.129186,1.0,1
0.0,29.0,63.428571999999996,2.187192,2.099771,2.0071220000000003,7.25,2.046338,15.857142999999999,13.428572,0.7518229999999999,0.349927,9.061225,3.220612,0.69087,2.820234,1.7713419999999998,0.7731,18.060662,0.154937,0.0,2
0.0,24.0,58.0,2.416667,1.8257419999999998,1.738054,6.0,0.7071069999999999,14.5,13.214285999999998,0.812972,0.728431,8.285714,2.341164,0.546842,1.2776379999999998,2.678061,0.6563,13.5,0.22889600000000002,1.0,1
0.0,20.0,48.714286,2.435714,2.12647,2.15334,5.0,0.7071069999999999,12.178571,11.571429,0.295164,0.745356,8.119048,3.789007,0.860656,1.75583,1.9904819999999999,0.7692,10.35314,0.24143,0.0,1
0.0,20.0,60.428571999999996,3.021429,2.204541,2.475379,5.0,1.5811389999999999,15.107142999999999,15.428572,0.331084,0.471405,10.071429,3.079171,1.322014,1.787007,3.4540230000000003,0.8,7.826238,0.116995,1.0,1
0.0,20.0,23.892857,1.1946430000000001,0.946292,0.7483310000000001,5.0,1.224745,5.973214,4.5,0.206735,1.105542,3.982143,2.4935080000000003,0.569547,0.772406,1.843202,0.75,0.5,0.25,0.0,1
1.0,8.0,25.428572,3.178571,1.053269,0.5,2.0,0.7071069999999999,6.357143,4.964286,0.704396,0.0,12.714286,1.857143,0.232143,4.964286,1.5,0.6667,5.722762,0.15098499999999998,1.0,1
1.0,8.0,24.071429000000002,3.008929,1.529655,1.118034,2.6667,1.247219,8.023810000000001,4.7619050000000005,0.337978,0.471405,8.023810000000001,1.069575,0.14018699999999998,0.271136,1.26168,0.7975,13.6565,0.092545,2.0,2
1.0,7.0,16.964285999999998,2.423469,2.300732,1.6629209999999999,1.75,0.43301300000000004,4.241071,3.053571,1.036666,1.247219,5.654762,4.99288,0.431537,0.474999,2.9636880000000003,0.4699,8.046738000000001,0.095489,0.0,2
1.0,10.0,45.285715,4.528571,1.75784,1.813836,2.5,0.5,11.321429,7.535714,1.1058459999999999,0.471405,15.095238,1.6343809999999999,0.698052,2.175508,2.7953639999999997,0.8077,2.95804,0.196542,1.0,2
0.0,15.0,25.571429000000002,1.7047619999999999,0.632456,0.4,5.0,2.160247,8.523810000000001,7.7619050000000005,0.21385,0.5,4.2619050000000005,1.904911,0.228683,0.568735,0.835456,0.95,27.395255,0.16497799999999999,0.0,1
0.0,14.0,17.0,1.214286,1.069045,0.971534,4.6667,0.942809,5.6666669999999995,4.904762,0.366929,0.7483310000000001,3.4,2.157852,0.433072,0.646918,1.15529,0.5333,4.189935,0.22421300000000002,0.0,1
0.0,11.0,10.5,0.9545450000000001,0.9068149999999999,0.940371,3.6667,1.885618,3.5,4.2619050000000005,1.479167,0.4,2.1,0.884792,0.472606,0.45260600000000006,0.582745,0.9048,15.508061999999999,0.032669,0.0,2
0.0,13.0,13.714285999999998,1.054945,0.877058,0.9970370000000001,3.25,1.9202860000000002,3.428572,3.464286,0.660493,0.8,2.742857,1.027777,0.40758099999999997,0.565325,0.960442,0.8642,6.576473,0.102115,0.0,1
0.0,10.0,7.857142999999999,0.785714,0.640312,0.663325,5.0,0.0,3.928572,3.285714,0.107143,0.0,1.5714290000000002,0.486554,0.32388,0.421368,0.635674,0.9273,30.3521,0.147964,0.0,1
0.0,13.0,36.285715,2.791209,2.176393,1.227158,4.3333,0.471405,12.095238,11.095238,0.767319,0.48989799999999994,7.257142999999999,3.119589,0.513778,0.6488430000000001,1.235859,0.8992,7.1545440000000005,0.093599,0.0,2
0.0,10.0,15.571429,1.557143,0.813941,0.9,3.3333,1.699673,5.190476,5.142857,0.49379700000000004,0.5,3.892857,1.310768,0.338606,0.506022,0.665283,0.8873,4.2056510000000005,0.099149,0.0,2
0.0,7.0,20.285715,2.897959,4.140393,0.8806309999999999,3.5,0.5,10.142857000000001,5.857143,0.571429,0.829156,5.071429,3.3220050000000003,0.61523,2.481415,0.758456,0.6827,14.006695,0.137445,0.0,2
0.0,10.0,7.857142999999999,0.785714,0.471699,0.65,5.0,0.0,3.928572,3.571429,0.014286000000000002,0.632456,1.5714290000000002,0.49487200000000003,0.38756199999999996,1.189047,0.40305,0.8627,2.2776080000000003,0.086909,0.0,1
0.0,36.0,122.57142900000001,3.4047620000000003,1.737832,1.358842,6.0,0.0,20.428570999999998,16.642857,0.409438,0.0,20.428570999999998,7.443552,0.357539,1.9958810000000002,4.548118,0.7984,37.579782,0.181232,0.0,1
0.0,22.0,38.642857,1.7564939999999998,1.23336,1.311307,3.6667,0.942809,6.440476,5.964286,0.251058,0.5,9.660714,3.413424,0.47146899999999997,4.688911,3.910021,0.92,12.496399,0.186041,1.0,2
0.0,29.0,111.28571399999998,3.8374379999999997,3.108043,2.061481,4.8333,1.067187,18.547619,15.761904999999999,0.7429939999999999,0.7483310000000001,22.257143,7.980792999999999,1.214708,2.9385790000000003,6.5586210000000005,0.866,69.517871,0.219428,0.0,1
0.0,29.0,94.285714,3.251232,1.099129,1.220125,4.8333,0.372678,15.714285999999998,15.238095000000001,0.89391,0.4,18.857143,1.334013,0.516486,1.7393290000000001,3.9511300000000005,0.8601,12.171232,0.098813,1.0,2
0.0,5.0,11.0,2.2,0.4,0.4,5.0,0.0,11.0,11.0,0.0,0.0,2.2,0.4,0.4,6.63325,1.777639,0.5,11.0,0.27275,0.0,2
0.0,7.0,17.5,2.5,0.8864049999999999,0.638877,7.0,0.0,17.5,8.0,0.0,0.0,2.5,0.8864049999999999,0.638877,6.519202,0.44031499999999996,0.8462,3.299832,0.0711,0.0,1
0.0,6.0,12.5,2.083333,0.186339,0.372678,6.0,0.0,12.5,11.0,0.0,0.0,2.083333,0.186339,0.372678,2.114763,0.799305,0.8148,10.984838,0.108953,0.0,1
0.0,6.0,16.0,2.666667,0.372678,0.606676,6.0,0.0,16.0,6.5,0.0,0.0,2.666667,0.372678,0.606676,1.5920809999999999,0.5,0.9533,7.586538000000001,0.029705000000000002,0.0,1
0.0,5.0,18.0,3.6,1.356466,1.624808,5.0,0.0,18.0,23.0,0.0,0.0,3.6,1.356466,1.624808,3.8470769999999996,1.8973669999999998,0.9756,13.0,0.0147,0.0,2
0.0,5.0,20.0,4.0,3.098387,0.8,2.5,1.5,10.0,4.0,1.0,0.0,4.0,3.098387,0.8,2.9933259999999997,0.7483310000000001,0.9077,17.461068,0.117584,0.0,1
1.0,3.0,8.0,2.666667,0.471405,0.942809,3.0,0.0,8.0,7.0,0.0,0.0,2.666667,0.471405,0.942809,2.054805,0.117851,0.8519,12.283684,0.082496,0.0,2
0.0,26.0,93.714286,3.604396,2.182841,2.522092,6.5,0.866025,23.428572,21.5,0.6073569999999999,0.699854,13.387754999999999,3.5338550000000004,0.964569,3.493211,1.2470709999999998,0.5791,20.205197000000002,0.21373000000000003,0.0,1
0.0,21.0,16.607143,0.790816,0.70127,0.658754,7.0,3.2659860000000003,5.535714,5.0119050000000005,0.43860600000000005,1.16619,3.321429,0.8397040000000001,0.131104,1.122235,0.893286,0.0,0.0,0.0,0.0,2
